date,portfolio_value,fold_id
2023-02-03,982672.79,25
2023-02-06,982168.45,25
2023-02-07,980623.9,25
2023-02-08,982441.47,25
2023-02-09,982742.59,25
2023-02-10,980734.85,25
2023-02-13,979824.89,25
2023-02-14,981154.34,25
2023-02-15,981891.84,25
2023-02-16,982007.85,25
2023-02-17,980483.22,25
2023-02-20,980922.25,25
2023-02-21,979726.41,25
2023-02-22,977930.79,25
2023-02-23,977846.84,25
2023-02-24,977777.43,25
2023-02-27,976591.73,25
2023-02-28,976252.89,25
2023-03-01,977506.92,25
2023-03-02,977594.95,25
2023-03-03,977594.95,25
2023-03-06,977594.95,25
2023-03-08,977594.95,25
2023-03-09,977594.95,25
2023-03-10,977594.95,25
2023-03-13,977594.95,25
2023-03-14,977594.95,25
2023-03-15,977594.95,25
2023-03-16,977594.95,25
2023-03-17,977594.95,25
2023-03-20,977594.95,25
2023-03-21,977594.95,25
2023-03-22,977594.95,25
2023-03-23,977594.95,25
2023-03-24,977594.95,25
2023-03-27,977594.95,25
2023-03-28,977594.95,25
2023-03-29,977594.95,25
2023-03-31,977594.95,25
2023-02-01,1000000.0,26
2023-02-02,1000000.0,26
2023-02-03,1000000.0,26
2023-02-06,1000000.0,26
2023-02-07,1000000.0,26
2023-02-08,1000000.0,26
2023-02-09,1000000.0,26
2023-02-10,1000000.0,26
2023-02-13,1000000.0,26
2023-02-14,1000000.0,26
2023-02-15,1000000.0,26
2023-02-16,1001864.67,26
2023-02-17,997124.29,26
2023-02-20,999783.48,26
2023-02-21,1000302.52,26
2023-02-22,998850.49,26
2023-02-23,998658.96,26
2023-02-24,995909.19,26
2023-02-27,989032.93,26
2023-02-28,991954.25,26
2023-03-01,993853.09,26
2023-03-02,991672.85,26
2023-03-03,991962.94,26
2023-03-06,994654.22,26
2023-03-08,999252.06,26
2023-03-09,997818.73,26
2023-03-10,996968.28,26
2023-03-13,993023.74,26
2023-03-14,993145.99,26
2023-03-15,993637.5,26
2023-03-16,993729.6,26
2023-03-17,994049.95,26
2023-03-20,993998.43,26
2023-03-21,995931.25,26
2023-03-22,994927.67,26
2023-03-23,995747.11,26
2023-03-24,995813.57,26
2023-03-27,994594.8,26
2023-03-28,994790.24,26
2023-03-29,997122.55,26
2023-03-31,997265.89,26
2023-04-03,997265.89,26
2023-04-05,997265.89,26
2023-04-06,997265.89,26
2023-04-10,997265.89,26
2023-04-11,997265.89,26
2023-04-12,997265.89,26
2023-04-13,997265.89,26
2023-04-17,997265.89,26
2023-04-18,997265.89,26
2023-04-19,997265.89,26
2023-04-20,997265.89,26
2023-04-21,997265.89,26
2023-04-24,997265.89,26
2023-04-25,997265.89,26
2023-04-26,997265.89,26
2023-04-27,997265.89,26
2023-04-28,997265.89,26
2023-03-01,1000000.0,27
2023-03-02,1000000.0,27
