fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct,signal_score_raw,vix_at_entry,nifty_above_ema50_at_entry,fii_net_cr_at_entry,sector_score_at_entry,had_tier_a_news,mfe_pct,mae_pct,triggered_signals
43,OFSS.NS,IT,2024-07-01,2024-07-29,9470.08,10460.7,6,56820.479999999996,64,0.125,TARGET,5856.27,10.3066,True,64,13.829999923706055,True,0.0,100,False,10.6265,0.564,"⚠ RSI 76.5 > 75 (overbought — elevated reversal risk) | MACD hist 50.8803 > 0 | Price ₹9456 > EMA20 ₹8566 | Price ₹9456 > EMA50 ₹7864 | Volume 1.9× average | Sector IT bullish (score 100) | Near 75d high (₹9665, -2.2% away) — breakout setup | Nifty +0.55% (FII data unavailable — market signal neutral)"
43,FINEORG.NS,Chemicals,2024-07-01,2024-07-30,5105.3,5841.09,11,56158.3,64,0.125,TARGET,8004.16,14.2529,True,64,13.829999923706055,True,0.0,100,False,14.5842,0.0,"⚠ RSI 78.7 > 75 (overbought — elevated reversal risk) | MACD hist 30.4217 > 0 | Price ₹5098 > EMA20 ₹4715 | Price ₹5098 > EMA50 ₹4527 | Volume 4.3× average | Sector Chemicals bullish (score 100) | Near 75d high (₹5179, -1.6% away) — breakout setup | Nifty +0.55% (FII data unavailable — market signal neutral)"
43,CIPLA.NS,Pharma,2024-07-26,2024-07-30,1547.57,1497.77,39,60355.229999999996,64,0.125,STOP,-2023.59,-3.3528,False,64,12.25,True,0.0,100,False,0.0,3.0724,"MACD hist 2.8804 > 0 | Price ₹1545 > EMA20 ₹1479 | Price ₹1545 > EMA50 ₹1457 | Volume 2.8× average | Sector Pharma bullish (score 100) | Near 75d high (₹1570, -1.6% away) — breakout setup | Nifty +1.76% (FII data unavailable — market signal neutral)"
43,TECHM.NS,IT,2024-07-26,2024-08-05,1486.71,1400.69,40,59468.4,64,0.125,STOP,-3518.87,-5.9172,False,64,12.25,True,0.0,100,False,0.7084,5.6442,"MACD hist 2.7118 > 0 | Price ₹1484 > EMA20 ₹1416 | Price ₹1484 > EMA50 ₹1334 | Volume 3.1× average | Sector IT bullish (score 100) | Near 75d high (₹1491, -0.4% away) — breakout setup | Nifty +1.76% (FII data unavailable — market signal neutral)"
43,ASHOKLEY.NS,Auto,2024-07-29,2024-08-05,124.15,117.81,492,61081.8,64,0.125,STOP,-3200.04,-5.2389,False,64,12.949999809265137,True,0.0,100,False,0.1381,4.9605,"MACD hist 1.0308 > 0 | Price ₹124 > EMA20 ₹113 | Price ₹124 > EMA50 ₹109 | Volume 2.0× average | Sector Auto bullish (score 100) | Near 75d high (₹125, -1.0% away) — breakout setup | Nifty +0.01% (FII data unavailable — market signal neutral)"
43,BRITANNIA.NS,FMCG,2024-07-09,2024-08-07,5531.91,5752.66,10,55319.1,64,0.125,MAX_AGE,2127.35,3.8456,True,64,14.279999732971191,True,0.0,100,False,4.7099,0.0,"MACD hist 9.6701 > 0 | Price ₹5524 > EMA20 ₹5300 | Price ₹5524 > EMA50 ₹5108 | Volume 1.5× average | Sector FMCG bullish (score 100) | Near 75d high (₹5578, -1.0% away) — breakout setup | Nifty +0.46% (FII data unavailable — market signal neutral)"
43,LALPATHLAB.NS,Healthcare,2024-07-19,2024-08-07,1477.41,1611.12,40,59096.4,64,0.125,TARGET,5258.61,8.8984,True,64,14.829999923706055,True,0.0,100,False,9.214,0.0,"MACD hist 1.9887 > 0 | Price ₹1475 > EMA20 ₹1421 | Price ₹1475 > EMA50 ₹1336 | Volume 1.5× average | Sector Healthcare bullish (score 100) | Near 75d high (₹1505, -2.0% away) — breakout setup"
43,DIVISLAB.NS,Pharma,2024-07-31,2024-08-14,4878.3,4633.91,12,58539.600000000006,64,0.125,STOP,-3010.16,-5.1421,False,64,13.25,True,0.0,100,False,1.8516,4.8671,"MACD hist 31.2735 > 0 | Price ₹4871 > EMA20 ₹4606 | Price ₹4871 > EMA50 ₹4413 | Volume 1.9× average | Sector Pharma bullish (score 100) | Near 75d high (₹4898, -0.6% away) — breakout setup | Nifty +0.38% (FII data unavailable — market signal neutral)"
43,TVSMOTOR.NS,Auto,2024-07-31,2024-08-23,2515.54,2741.86,24,60372.96,64,0.125,TARGET,5339.99,8.845,True,64,13.25,True,0.0,100,False,9.1605,2.2093,"MACD hist 3.2258 > 0 | Price ₹2512 > EMA20 ₹2430 | Price ₹2512 > EMA50 ₹2337 | Volume 2.1× average | Sector Auto bullish (score 100) | Near 75d high (₹2538, -1.0% away) — breakout setup | Nifty +0.38% (FII data unavailable — market signal neutral)"
43,SUNPHARMA.NS,Pharma,2024-07-26,2024-08-26,1689.96,1742.1,35,59148.6,64,0.125,MAX_AGE,1739.94,2.9416,True,64,12.25,True,0.0,100,False,3.4324,0.8866,"⚠ RSI 78.1 > 75 (overbought — elevated reversal risk) | MACD hist 11.0932 > 0 | Price ₹1687 > EMA20 ₹1564 | Price ₹1687 > EMA50 ₹1519 | Volume 2.3× average | Sector Pharma bullish (score 100) | Near 75d high (₹1697, -0.6% away) — breakout setup | Nifty +1.76% (FII data unavailable — market signal neutral)"
