fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct
22,KOTAKBANK.NS,Banking,2022-11-18,2022-12-12,390.71,372.01,156,60950.759999999995,64,0.125,STOP,-2917.84,-4.7872,False
22,IOC.NS,Energy,2022-11-24,2022-12-12,59.84,65.52,1022,61156.48,64,0.125,TARGET,5809.53,9.4994,True
22,ONGC.NS,Energy,2022-11-15,2022-12-13,113.53,120.88,541,61419.73,64,0.125,MAX_AGE,3976.84,6.4749,False
22,PNB.NS,Banking,2022-12-06,2022-12-13,52.58,56.8,1172,61623.759999999995,64,0.125,TARGET,4946.21,8.0265,True
22,HINDZINC.NS,Metals,2022-11-18,2022-12-16,238.98,248.25,256,61178.88,64,0.125,MAX_AGE,2373.0,3.8788,False
22,TCS.NS,IT,2022-11-30,2022-12-16,3049.11,2913.73,20,60982.200000000004,64,0.125,STOP,-2707.6,-4.44,False
22,TATACOMM.NS,Telecom,2022-12-14,2022-12-16,1309.63,1255.16,47,61552.61000000001,64,0.125,STOP,-2560.27,-4.1595,False
22,BANKBARODA.NS,Banking,2022-12-09,2022-12-21,172.23,162.14,356,61313.88,64,0.125,STOP,-3591.92,-5.8582,False
22,BPCL.NS,Energy,2022-12-12,2022-12-21,146.97,140.69,419,61580.43,64,0.125,STOP,-2629.68,-4.2703,False
22,MOIL.NS,Metals,2022-12-16,2022-12-22,156.03,146.81,397,61943.91,64,0.125,STOP,-3659.48,-5.9077,False
22,MGL.NS,Energy,2022-12-20,2022-12-22,841.31,800.62,73,61415.63,64,0.125,STOP,-2970.6,-4.8369,False
22,GAIL.NS,Energy,2022-12-14,2022-12-23,83.34,79.48,745,62088.3,64,0.125,STOP,-2878.23,-4.6357,False
22,HINDUNILVR.NS,FMCG,2022-12-07,2022-12-27,2562.47,2454.48,24,61499.28,64,0.125,STOP,-2591.77,-4.2143,False
22,MARICO.NS,FMCG,2022-12-12,2022-12-30,511.55,488.64,120,61386.0,64,0.125,STOP,-2749.07,-4.4783,False
